,ID,text,helpful,sen,dens,final_sen,LOC
0,0,"This book is a reissue of an old one; the author was born in 1910. It's of the era of, say, Nero Wolfe. The introduction was quite interesting, explaining who the author was and why he's been forgotten; I'd never heard of him.The language is a little dated at times, like calling a gun a &#34;heater.&#34;  I also made good use of my Fire's dictionary to look up words like &#34;deshabille&#34; and &#34;Canarsie.&#34; Still, it was well worth a look-see.",1,1,0.7288135590000001,0.7288135590000001,NY
1,1,"This was a fairly interesting read.  It had old- style terminology.I was glad to get  to read a story that doesn't have coarse, crasslanguage.  I read for fun and relaxation......I like the free ebooksbecause I can check out a writer and decide if they are intriguing,innovative, and have enough of the command of Englishthat they can convey the story without crude language.",1,1,0.611111111,0.351851852,NY
2,2,"He had an english accent which he seemed trying to hide. I don't know this, but my impression is that europeons now own the WSJ.England s a great country, but I'm suspicious of europeon socialism. (I really can't spell it.) In particular the Brits are proud of their writing ability, and rightly so, but I'd rather have Americans brainwashing Americans, bad as that may be.",0,0,0.625,0.0,NY
3,3,"Somewhat of a disappointment.  The articles were all there, but I missed Pepper and Salt and the list of declared dividends, currency exchange, weather.  These were the small things that I would like for travel, the whole stack of paperes was waiting for me at home.  This was just a stop-gap for travel abroad where the WSJ was not available.",1,0,0.588235294,-0.20588235300000002,NY
4,4,"I've been an occasional reader of the Wall Street Journal for many years, but had never really considered subscribing to it. For the most part I've been happy to get my news for free online from a variety of sources, but of late I've been craving a more consistent access to the kind of high quality news stories that WSJ is known for. I decided to check out several subscription options, and compare them to each other. The Kindle version, even though it is very limited in many respects, turns out to be pretty good and in line with my expectations for what I wanted to get out of reading WSJ.Once you subscribe to WSJ, you can setup the delivery to any one of your Kindle devices or enabled Kindle readers. You can also manually download the current issue of WSJ to another device, but the automatic downloads are enabled for only one device at the time (you can change which one in the online Kindle setting at any time). Kindle formatting of WSJ leaves a lot to be desired. As you may imagine, the reading experience will be much closer to reading a book than a newspaper. I don't mind this all that much, as WSJ has always been a pretty text-heavy newspaper. The exceptions are the graphs and charts, which can be almost illegible when presented on Kindle. The sections and articles are well organized and easily accessible through the menu, and I am overall pleased with the navigation options. In terms of formatting, I still prefer the dedicated WSJ iPad version, but the Kindle version gets the job done.One big difference between the Kindle version and those for various tablets is that you won't be able to access various embedded videos on Kindle (not even in the tablet version of Kindle software). Those small video clips are indeed a lot of fun, and definitely add to the overall ""reading"" experience. However, they also add to the size of the download, and unless you have a really fast wireless connection and the latest version of the tablet, the download can be choppy. For me these videos are a nice addition, but they are not crucial.As far as the price goes, yes, Wall Street Journal on Kindle is kind of expensive. However, keep in mind that you can in principle cancel your subscription without much trouble after any number of months has passed, something that in my experience is not that easy to pull off with a print subscription of any newspaper. I do consider WSJ to be a very high quality publication, and in my opinion the price is reasonable for the kind of content and convenience that you get. We've all been spoiled by the years of de-facto free online access to various newspapers and magazines, but unfortunately this free-for-all state of affairs has lead many fine journals and newspapers to shut down.If you are seeking the convenience and the ease of use that the Kindle version of WSJ provides, and are not too concerned with the formatting and various bells and whistles, then I'd definitely recommend that you check it out. So far I've been more satisfied than I had expected based on all the negative reviews that I have read.",1,1,0.578772803,0.578772803,NY
5,5,"I read nearly all my books and magazines on Kindle.  I have had a paper subscription for the WSJ for several years but have trouble reading the small print.  Nevertheless, I renewed it via Amazon and Kindle in the apparently mistaken belief that I would be able to read it on more than my Kindle (I have two).  First of all, I had one hell of a time getting it to open on the Kindle Fire.  After much fumbling, I managed.  There are some serious problems with the app: the type face sizes are too small (hardly larger than the print version) and now I can't get it to open on the iPad.  I could have continued with the online version on the iPad and Kindle (I'm going to start receiving the print version soon, I hope) cheaper - but opted for the Amazon version thinking mistakenly that I would be able to read it on the ipad with the larger screen.  This isn't quite a disaster - but it comes close.If I were you, I'd buy the print/digital combination directly and use either the Kindle or the iPad - not the special app.Ok, I'm part of the disaster - I thought I was ordering the Kindle and print versions and somehow managed to just order the print version.  After a cordial conversation with Amazon, I cancelled the order - the Amazon print version is nearly 50% more than the same offer from the WSJ.  I then bought the WSJ on line, logged in on my Kindle and presto - a decent readable product (type size is still too small) on line.  I can now read it on the Kindle Fire, my iMac - and if I can find my iPad, probably there.  All things considered, the product is a good one - but the price extracted for buying it thru Amazon is too high.  I suppose I'll have to change my email -",1,0,0.625344353,0.0,NY
6,6,"Karen Traviss was noted during her time as a Star Wars author for her fascination with the Mandalorian culture along with her disdain for the Jedi. These traits fueled several exceptional stories in the Republic Commando novels but also started to become a bit of a distraction over time, especially as her stories became increasingly drenched in Mandalorian worship. It's an interesting choice to have her author a short story (originally an e-book) for the New Jedi Order, as beyond a nod in the final volume, Mandalorians are conspicuously absent. This story is very much like her full length Star Wars novels: Mandalorian focused, chapters starting with intriguing italicized quotes from various in-universe sources, and a very cinematic way of staging scenes and cutting between them.So it turns out the choice was a good one: having Ms. Traviss bring her sensibilities to the New Jedi Order provides a sorely-needed shift from the overall tone of the nineteen novels. It's fascinating how she juxtaposes Boba Fett and his allies against the Yuuzhan Vong, two cultures both comfortable with violence as a means to an end but diametrically opposed as to the means. This story is set chronologically before Vector Prime, meaning it could be a reader's first introduction to the Yuuzhan Vong culture, and overall I would say that's neither worse nor better than first encountering them via Vector Prime. It's just different, as Vector Prime shows the Vong through the lens of the Jedi and here we meet them through the alternate viewpoint of Mandalorian mercenaries.This story brings us up-to-date on an older Boba Fett, one still living the mercenary life while also having responsibilities as the Mandalore, the leader of his people. It's an interesting dynamic how Fett feels a sense of duty to this role while simultaneously keeping it at arm's length. The sequences where Fett and a companion walk through a Vong vessel and encounter the extra-galactic invaders for the first time is superb, as we see their disgusted reactions to the bloody Vong culture firsthand. The ending of the story leaves the Mandalorians as true anti-heroes, secretly doing the right thing while being openly despised for their seemingly traitorous actions. I would have liked to see this thread interwoven throughout the New Jedi Order, but alas, A Practical Man was penned late in the game.Despite any misgivings I developed over time with Ms. Traviss' tendency to elevate the Mandalorians and demonize the Jedi in her writing, there is no denying that she was an exceptional Star Wars author. Her stories are distinct, hard-edged, and propel along much like the films themselves, even when they get heavy on dialogue vs. action. Boba Fett: A Practical Man is a distinct entity in the New Jedi Order and well worth a read: even better, it could be read by someone interested in Fett and his people without having to go further in the nineteen books that follow.",1,1,0.631775701,0.7167505390000001,NY
7,7,"I got about two pages into this before giving up. The style is clunky, the internal monolog doesn't gel with the character we know, and the story starts at the end of a chase scene that probably would have been really interesting if the author had bothered to write it.",0,0,0.545454545,0.13986014,NY
8,8,It was too slow from the very beginning!To much information about a number of charcters at the very beginning which turned out to be quite boring!,0,0,0.482758621,0.25862069,NY
9,9,"I  grew up considering Jules Verne and his contamparies as people with a scientific vision. But having read his work, including this one, I feel betrayed. These are racist people, believing in white man's superiority, which looks like a recurrent theme with bit of pseudoscience thrown in. Do not waste time.",0,0,0.716666667,-0.283333333,NY
10,10,I purchased this for my Kindle from Amazon and did not enjoy at all.  I would not recommend this unless you are desperate for something to read.,0,0,0.482758621,0.25862069,NY
11,11,"It's hard to believe that this long, tedious, silly tale of Egyptian wizardry was written by the same man who wrote ""King Solomon's Mines."" Wooden prose, stilted dialogue and an utter lack of good, literary imagery make this a chore from start to finish -- unless you're into epic tales of gods interacting with humans. Just terrible.",0,0,0.710144928,-0.289855072,NY
12,12,This wasn't written I said what I wanted to say I do not understand why I must write so many words that aren't needed it seems like a waste of my time and the person that has to review what I wrote.n in a way I expected.,0,0,0.58,-0.14,NY
13,13,these stories are depressing and morbid. there was to much death in these stories. they were really gory too. not what you expect when see the words fairy tales in the title.,0,0,0.5,-0.5,NY
14,14,"I read both Ellery Queen and Alfred Hitchcock magazines, and I greatly prefer the former.  Consistently strong entries from Clark Howard, Doug Allyn, and other short story powerhouses really make this magazine a pleasure.  I travel for business, and short stories are a perfect entertainment - well-written enough to really hold my interest, but short enough to complete during the shorter periods of time I have available for reading.  And, I particularly love that this publication is now available for the Kindle.  Fantastic.",1,1,0.70212766,0.627659575,NY
